gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,(0.5-inf),No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),Yes,No,(9.5-22.5],No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(-inf-9.5],No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(22.5-66.5],Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(-inf-9.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],Yes,No,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(22.5-66.5],Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,(-inf-29.525],(-inf-375.15],Yes
